model,mae,rmse,smape,n_predictions,seconds
xgboost_base,521.2669302437298,691.6402719227023,6.880428188345945,618,11.3
xgboost_roll,526.4443754424555,701.2357170766506,6.951675659770619,618,12.8
xgboost_cal,501.13313960103153,668.2664345757692,6.613499892287936,618,10.4
xgboost_diff12,481.26902900609673,666.1394502516972,6.350222347310348,618,9.5
xgboost_full,487.4182929164673,673.7800213084132,6.4355685071190525,618,12.1
xgboost_direct,488.531500475451,684.8399267414871,6.387410254701692,618,28.4
catboost_base,500.8982993433619,673.5550737132528,6.589326365902394,618,15.2
catboost_roll,515.2566300147504,688.3512986098186,6.785531816079056,618,16.7
catboost_cal,474.7470432972416,630.5059088871494,6.27090418196158,618,15.4
catboost_diff12,471.376709504732,649.429759157405,6.20311648103376,618,14.6
catboost_full,466.2818576740481,648.625529614045,6.1350859423129895,618,17.4
catboost_direct,464.78536883937346,650.0903578490022,6.092140925479252,618,41.6
