model,horizon,smape,ci_low,ci_high,mae,n_windows
catboost,1,5.715388805327329,4.870398106081207,6.632588860117528,428.2898469019102,103
catboost,2,6.380121454881014,5.351669850087415,7.485739440206188,483.67897494416025,103
catboost,3,6.755984732516175,5.65624879717928,7.9441841911864906,514.1128635193031,103
catboost,4,6.907877705047796,5.839266001651068,8.017054106118707,526.7377379821274,103
catboost,5,6.8021597086393335,5.71604898977458,7.966152122179178,520.3037215754904,103
catboost,6,6.974425789028904,5.84153920878635,8.182006152988855,532.2666511371799,103
prophet,1,4.353822326002595,3.5204166298443424,5.294362731350454,326.6498983634549,103
prophet,2,4.451976140108256,3.620464364747237,5.390792679394573,335.4451225603142,103
prophet,3,4.645585470122514,3.7938556932161327,5.619588025602946,350.81438110546736,103
prophet,4,4.820899276822309,3.9420218644446825,5.810964238470904,364.81681477581606,103
prophet,5,4.929367570997466,4.053891838531844,5.921648641071335,373.9627404387097,103
prophet,6,5.004142021008075,4.1341199180844095,5.989442262808319,379.3425062996364,103
sarima,1,4.162529167788267,3.452321400910873,4.9580943043510075,313.3307274306492,103
sarima,2,4.697063442227133,3.8793022165117175,5.611071671233515,357.2234421325057,103
sarima,3,4.765217071363645,3.91742022695028,5.72791133566098,360.7689655525506,103
sarima,4,4.809589736485122,3.9520735996248724,5.752601952435304,362.3871461989306,103
sarima,5,5.112938908033563,4.2805935682850444,6.052147293597859,388.152646821423,103
sarima,6,5.226574590927826,4.387231572198614,6.194133096245022,397.68058107196595,103
timesfm,1,4.296678968760849,3.5934782329677906,5.091773623799312,321.5026073270631,103
timesfm,2,4.620754185904171,3.8414776613386783,5.486388606152767,349.3887335027306,103
timesfm,3,4.899821251563227,4.0491552690785015,5.857658541374802,371.39556469963594,103
timesfm,4,5.107384632749782,4.251223038305626,6.048880923247003,387.97750587833735,103
timesfm,5,4.972939776004499,4.096088665887947,5.962217386535833,378.3106843522451,103
timesfm,6,5.097546632129389,4.209346294307441,6.131580490558979,387.65826001213594,103
xgboost,1,6.116107119340746,5.204320385552326,7.099481171902181,457.00032710103153,103
xgboost,2,6.889106645577145,5.842198468132231,8.03846130931755,520.3618116656553,103
xgboost,3,7.199697027431384,6.039181420777948,8.43753282915361,547.5877626289441,103
xgboost,4,7.074646335769521,5.995608234597414,8.24950250354687,535.6239760315534,103
xgboost,5,7.001718771528675,5.946589695739942,8.140497742273023,532.6696232175364,103
xgboost,6,7.0012932304556355,5.867632088820134,8.234176412467223,534.3580808176578,103
