model,metric,point,ci_low,ci_high,ci_width,n_windows,n_predictions,B
catboost,smape,6.589326365906759,5.924810977812372,7.273354727286445,1.3485437494740724,103,618,10000
catboost,mae,500.8982993433619,447.70862679570826,555.6901950336872,107.98156823797899,103,618,10000
catboost_temp,smape,6.331192428109856,5.731879087045298,6.955229496764064,1.2233504097187655,103,618,10000
catboost_temp,mae,478.67653840388834,430.8125967377089,528.055339849114,97.24274311140516,103,618,10000
prophet,smape,4.700965467510203,4.1709315293730835,5.2675325360374305,1.096601006664347,103,618,10000
prophet,mae,355.1719105905664,313.70223392029493,399.64357861531084,85.94134469501591,103,618,10000
sarima,smape,4.7956521528042595,4.289042752569085,5.326994323146721,1.0379515705776363,103,618,10000
sarima,mae,363.25725153467084,323.8501639213222,405.10077731959086,81.25061339826868,103,618,10000
sarima_temp,smape,4.659836284765464,4.156533550554833,5.188617049667366,1.0320834991125327,103,618,10000
sarima_temp,mae,352.85511980650887,314.05651941389175,393.96777898030837,79.91125956641662,103,618,10000
timesfm,smape,4.832520907851986,4.324516191673408,5.38511397479832,1.060597783124912,103,618,10000
timesfm,mae,366.0388926286913,326.5387539267926,408.5576777881017,82.01892386130913,103,618,10000
xgboost,smape,6.880428188350518,6.216955106771596,7.579436129073754,1.3624810223021582,103,618,10000
xgboost,mae,521.2669302437298,468.1705398707714,577.0975708995437,108.92703102877232,103,618,10000
xgboost_temp,smape,6.512106315125898,5.866650277681919,7.183244670520041,1.3165943928381214,103,618,10000
xgboost_temp,mae,493.7086983591222,442.2347060120221,547.4668771490695,105.23217113704743,103,618,10000
