model,horizon,smape,ci_low,ci_high,mae,n_windows
catboost,1,5.715388805327329,4.870398106081207,6.632588860117528,428.2898469019102,103
catboost,2,6.380121454881014,5.351669850087415,7.485739440206188,483.67897494416025,103
catboost,3,6.755984732516175,5.65624879717928,7.9441841911864906,514.1128635193031,103
catboost,4,6.907877705047796,5.839266001651068,8.017054106118707,526.7377379821274,103
catboost,5,6.8021597086393335,5.71604898977458,7.966152122179178,520.3037215754904,103
catboost,6,6.974425789028904,5.84153920878635,8.182006152988855,532.2666511371799,103
catboost_slide60,1,5.566452098805002,4.690794284690265,6.514220036193918,417.9192857181857,103
catboost_slide60,2,6.561920009889404,5.491509975921219,7.750676867669727,495.4390667003699,103
catboost_slide60,3,6.868312202247976,5.692420800914214,8.150584278279894,521.8578768252709,103
catboost_slide60,4,7.067995645721652,5.949616221833472,8.268534066097063,536.3758283449864,103
catboost_slide60,5,6.875214169023594,5.745559649671924,8.06811681102244,522.6470826630223,103
catboost_slide60,6,6.9143339536461275,5.7795261917235505,8.14498206980668,526.8281802039877,103
prophet,1,4.353822326002595,3.5204166298443424,5.294362731350454,326.6498983634549,103
prophet,2,4.451976140108256,3.620464364747237,5.390792679394573,335.4451225603142,103
prophet,3,4.645585470122514,3.7938556932161327,5.619588025602946,350.81438110546736,103
prophet,4,4.820899276822309,3.9420218644446825,5.810964238470904,364.81681477581606,103
prophet,5,4.929367570997466,4.053891838531844,5.921648641071335,373.9627404387097,103
prophet,6,5.004142021008075,4.1341199180844095,5.989442262808319,379.3425062996364,103
prophet_slide60,1,4.72433494244999,3.914601261129108,5.609265166036224,353.9781083737795,103
prophet_slide60,2,4.978793259254043,4.111328155409201,5.913173828977505,374.94994209395276,103
prophet_slide60,3,5.239058801603659,4.318200904595524,6.221273108552133,395.0180607749396,103
prophet_slide60,4,5.531245709728515,4.587210253328846,6.510798061092439,417.2509808615944,103
prophet_slide60,5,5.766094905033189,4.811319803729297,6.77503593853044,436.42576226197883,103
prophet_slide60,6,6.105753933979787,5.069833473589933,7.199444384653913,463.96183570784353,103
sarima,1,4.162529167788267,3.452321400910873,4.9580943043510075,313.3307274306492,103
sarima,2,4.697063442227133,3.8793022165117175,5.611071671233515,357.2234421325057,103
sarima,3,4.765217071363645,3.91742022695028,5.72791133566098,360.7689655525506,103
sarima,4,4.809589736485122,3.9520735996248724,5.752601952435304,362.3871461989306,103
sarima,5,5.112938908033563,4.2805935682850444,6.052147293597859,388.152646821423,103
sarima,6,5.226574590927826,4.387231572198614,6.194133096245022,397.68058107196595,103
sarima_slide60,1,4.421323618581799,3.691662872457033,5.223780730662893,334.07160743632005,103
sarima_slide60,2,5.389932122322945,4.487224895811707,6.400788593521009,411.71432580557007,103
sarima_slide60,3,5.850290296374132,4.937772783704148,6.871663679963857,447.06207234452444,103
sarima_slide60,4,5.691809843547129,4.733204667238103,6.715686156393619,432.1067335825367,103
sarima_slide60,5,5.566886400444176,4.696688038145424,6.47687297707427,421.9773114573342,103
sarima_slide60,6,5.832325311885007,4.944883668113936,6.788112125760325,446.05505534156833,103
timesfm,1,4.296678968760849,3.5934782329677906,5.091773623799312,321.5026073270631,103
timesfm,2,4.620754185904171,3.8414776613386783,5.486388606152767,349.3887335027306,103
timesfm,3,4.899821251563227,4.0491552690785015,5.857658541374802,371.39556469963594,103
timesfm,4,5.107384632749782,4.251223038305626,6.048880923247003,387.97750587833735,103
timesfm,5,4.972939776004499,4.096088665887947,5.962217386535833,378.3106843522451,103
timesfm,6,5.097546632129389,4.209346294307441,6.131580490558979,387.65826001213594,103
timesfm_slide60,1,4.17765392119198,3.473765806274591,4.9577109174168985,312.4480383419296,103
timesfm_slide60,2,4.694642597568209,3.9162523872328454,5.552926302201145,356.16528083282765,103
timesfm_slide60,3,4.950714255881292,4.100736250564238,5.867608377075845,375.25070634860435,103
timesfm_slide60,4,4.8749798441457335,4.022894624841129,5.793724115472701,369.36538133343447,103
timesfm_slide60,5,4.844428650432645,4.005830356999092,5.763922597552688,367.82770308707524,103
timesfm_slide60,6,4.925877764933125,4.091644176352741,5.875163988877466,375.98348850879853,103
xgboost,1,6.116107119340746,5.204320385552326,7.099481171902181,457.00032710103153,103
xgboost,2,6.889106645577145,5.842198468132231,8.03846130931755,520.3618116656553,103
xgboost,3,7.199697027431384,6.039181420777948,8.43753282915361,547.5877626289441,103
xgboost,4,7.074646335769521,5.995608234597414,8.24950250354687,535.6239760315534,103
xgboost,5,7.001718771528675,5.946589695739942,8.140497742273023,532.6696232175364,103
xgboost,6,7.0012932304556355,5.867632088820134,8.234176412467223,534.3580808176578,103
xgboost_slide60,1,5.774185096629531,4.889978172318125,6.732037063493936,432.5579537697209,103
xgboost_slide60,2,6.735864194603737,5.7501254332898295,7.838581323638261,508.05270593143206,103
xgboost_slide60,3,7.2526554509772465,6.106493398937892,8.44934689543548,550.7223765549151,103
xgboost_slide60,4,7.091224621029615,5.942193943859881,8.308547101057167,538.4544381447208,103
xgboost_slide60,5,7.223363565934973,6.133278273056099,8.381258439283163,549.275907349818,103
xgboost_slide60,6,7.063958218265293,5.996003586549082,8.210424795296989,537.7085482402913,103
